CustomerID,Name,Age,Gender,Income,Purchases,Churn
1,Felicia,50,Male,34487.0,40.0,No
2,Pamela,25,Female,119231.0,28.0,No
3,Clayton,42,Male,141648.0,34.0,No
4,Heather,24,Female,46706.0,12.0,Yes
5,Richard,55,Female,78851.0,,Yes
6,Jeffrey,45,Male,67721.0,14.0,Yes
7,Steven,40,Male,82505.0,,No
8,Lawrence,44,Male,,32.0,No
9,Mark,24,Male,112780.0,15.0,Yes
10,Jennifer,46,Male,,48.0,No
11,Christopher,38,Male,24396.0,9.0,No
12,Stacie,25,Male,34414.0,17.0,No
13,Valerie,30,Female,,5.0,No
14,Allison,20,Male,72715.0,19.0,No
15,Tina,19,Female,145032.0,36.0,No
16,Danielle,59,Male,72172.0,19.0,Yes
17,Monica,58,Female,144355.0,36.0,Yes
18,Robert,20,Male,126802.0,17.0,No
19,Amber,33,Male,99444.0,22.0,No
20,Rachel,59,Female,80966.0,27.0,No
21,Steven,28,Female,141335.0,46.0,No
22,Carrie,23,Female,34109.0,4.0,Yes
23,Elizabeth,23,Female,63802.0,27.0,Yes
24,Eric,45,Male,100801.0,33.0,No
25,Lauren,59,Male,113059.0,,No
26,Brent,34,Male,63751.0,24.0,No
27,Stephen,41,Male,,13.0,No
28,John,40,Male,128249.0,50.0,Yes
29,Kathleen,48,Male,54419.0,41.0,Yes
30,Paul,39,Female,105509.0,3.0,No
31,Adam,56,Male,51768.0,42.0,Yes
32,Teresa,39,Female,61498.0,44.0,No
33,Susan,39,Male,25002.0,26.0,Yes
34,Vanessa,65,Male,141549.0,47.0,No
35,Jennifer,54,Male,32383.0,26.0,No
36,Trevor,51,Female,145735.0,36.0,No
37,Ronald,44,Female,112027.0,,No
38,Elizabeth,64,Female,48256.0,25.0,No
39,Justin,33,Female,84135.0,34.0,Yes
40,Glenda,34,Male,99936.0,15.0,No
41,Karen,26,Female,127154.0,42.0,Yes
42,Melissa,21,Female,48524.0,24.0,Yes
43,Elizabeth,31,Male,85494.0,32.0,Yes
44,Dawn,51,Female,44132.0,29.0,Yes
45,Barbara,58,Male,59378.0,3.0,Yes
46,Mary,21,Female,42037.0,44.0,No
47,Joshua,45,Female,144554.0,27.0,No
48,Francisco,47,Male,99274.0,4.0,Yes
49,Tracy,60,Female,95440.0,10.0,No
50,Carl,31,Female,57783.0,41.0,Yes
51,Bruce,49,Male,40044.0,,No
52,William,57,Male,22986.0,19.0,No
53,Bradley,31,Female,59747.0,29.0,Yes
54,Ashley,62,Male,25385.0,7.0,Yes
55,Joshua,22,Male,94601.0,21.0,No
56,Allen,19,Male,30877.0,29.0,No
57,Michelle,36,Female,32299.0,22.0,No
58,Mark,20,Male,91225.0,10.0,No
59,Fernando,33,Female,64382.0,41.0,Yes
60,Tina,32,Male,26295.0,11.0,Yes
61,Brett,35,Male,93924.0,47.0,Yes
62,Alyssa,27,Female,109658.0,41.0,Yes
63,Debbie,22,Female,107263.0,49.0,Yes
64,Jesse,58,Male,49100.0,17.0,No
65,Carla,25,Male,73807.0,43.0,Yes
66,Chelsea,49,Male,131560.0,12.0,No
67,Alexis,21,Female,107605.0,47.0,Yes
68,Oscar,29,Male,45906.0,23.0,Yes
69,Joseph,35,Female,102480.0,40.0,Yes
70,Heather,45,Female,129719.0,1.0,Yes
71,Paula,57,Female,148216.0,35.0,No
